Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
25.5500       -451.4432    -454.2330       2.7898   348.1
25.6000       -451.3356    -453.7420       2.4064   300.3
25.6500       -451.3033    -453.7751       2.4717   308.4
25.7000       -450.8476    -453.5538       2.7063   337.7
25.7500       -451.3652    -454.2014       2.8362   353.9
25.8000       -451.8027    -453.6909       1.8882   235.6
25.8500       -451.7902    -454.1597       2.3695   295.7
25.9000       -451.7619    -454.2719       2.5100   313.2
25.9500       -451.7101    -454.0974       2.3873   297.9
26.0000       -451.4581    -454.1329       2.6749   333.8
26.0500       -450.9597    -453.6354       2.6757   333.9
26.1000       -451.0847    -453.8478       2.7630   344.8
26.1500       -451.0651    -453.5387       2.4736   308.7
26.2000       -451.4522    -454.0071       2.5550   318.8
26.2500       -451.6813    -454.1424       2.4610   307.1
26.3000       -451.9011    -454.1424       2.2413   279.7
